room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13834638,81602815,Entire home/apt,,24,3,4.5,3,1,49,1,56.15964,10.193954,01:48.8
9708189,50124775,Entire home/apt,,24,20,4.5,4,1,62,,56.15004,10.201428,16:30.0
13134042,36445948,Entire home/apt,,10,5,5,4,2,80,1,56.151357,10.128927,54:07.1
13444596,76667073,Entire home/apt,,6,3,5,4,3,143,1,56.15294,10.168464,44:14.6
13613859,72060878,Entire home/apt,,24,1,,3,2,73,2,56.149929,10.209772,22:19.2
15382113,13700427,Entire home/apt,,24,1,,2,1,75,3,56.16128,10.208403,27:56.5
15404481,20700596,Entire home/apt,,2,2,,2,1,38,5,56.135891,10.174188,39:36.4
1875494,9769659,Entire home/apt,,6,4,5,4,3,113,2,56.155093,10.150062,18:00.9
13619202,78865302,Entire home/apt,,10,0,,2,1,35,2,56.15429,10.103932,42:35.8
7434842,20080366,Entire home/apt,,6,3,4.5,3,1,65,1,56.155768,10.169633,23:59.7
2489136,5036213,Entire home/apt,,6,7,4.5,8,3,136,2,56.156899,10.17111,47:10.4
11207807,11766671,Entire home/apt,,6,0,,4,1,83,5,56.158167,10.165732,17:41.7
10399138,16503740,Entire home/apt,,3,1,,5,3,98,2,56.162274,10.168004,55:28.2
6073649,6543723,Entire home/apt,,3,12,5,6,3,105,1,56.165362,10.171974,04:07.3
3572504,17990122,Entire home/apt,,6,2,,4,3,121,2,56.158114,10.150767,19:55.1
1036297,5419871,Entire home/apt,,3,19,5,10,4,143,3,56.166655,10.16992,42:00.6
12139023,65166683,Entire home/apt,,10,1,,2,2,42,1,56.158097,10.138711,17:05.0
